Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	2133	Veronica Campbell-Brown	JAM	23.04 (1 h5)	22.64 (1 h1)	22.19 (1 h1)	21.74 (1)	Gold		
2	3167	Allyson Felix	USA	23.02 (1 h1)	22.74 (2 h1)	22.33 (1 h2)	21.93 (2)	Silver		
3	2178	Kerron Stewart	JAM	23.03 (3 h4)	22.74 (1 h3)	22.29 (2 h1)	22.00 (3)	Bronze		
4	3195	Muna Lee	USA	22.71 (1 h2)	22.83 (2 h4)	22.29 (3 h1)	22.01 (4)			
5	3270	Marshevet Hooker	USA	23.07 (1 h3)	22.76 (2 h3)	22.50 (2 h2)	22.34 (5)			
6	2145	Sherone Simpson	JAM	22.94 (2 h6)	22.60 (1 h4)	22.50 (3 h2)	22.36 (6)			
7	1094	Debbie Ferguson-McKenzie	BAH	23.22 (2 h3)	22.77 (3 h1)	22.51 (4 h1)	22.61 (7)			
8	1317	Cydonie Mothersill	CAY	22.76 (3 h2)	22.83 (4 h1)	22.61 (4 h2)	22.68 (8)			
5 h1 r3/4	3065	Nataliya Pyhyda	UKR	22.91 (1 h6)	23.03 (3 h3)	22.95 (5 h1)	–			
5 h2 r3/4	1742	Muriel Hurtis-Houairi	FRA	22.72 (2 h2)	22.89 (2 h2)	22.71 (5 h2)	–			
6 h1 r3/4	2906	Susanthika Jayasinghe	SRI	23.04 (2 h1)	22.94 (3 h2)	22.98 (6 h1)	–			
6 h2 r3/4	1255	Rakia Al-Gassra	BRN	22.81 (1 h4)	22.76 (1 h2)	22.72 (6 h2)	–			
7 h1 r3/4	1469	Roxana Díaz	CUB	23.09 (3 h6)	22.98 (4 h2)	23.12 (7 h1)	–			
7 h2 r3/4	1805	Emily Freeman	GBR	22.95 (2 h4)	22.95 (3 h4)	22.83 (7 h2)	–			
8 h2 r3/4	2823	Aleksandra Fedoriva	RUS	23.29 (4 h1)	23.04 (5 h2)	23.22 (8 h2)	–			
4 h4 r2/4	1264	Ivet Lalova	BUL	23.13 (4 h2)	23.15 (4 h4)	–	–			
5 h1 r2/4	2713	Ionela Târlea	ROU	23.24 (4 h4)	23.22 (5 h1)	–	–			
=5 h3 r2/4	2464	Kadiatou Camara	MLI	23.06 (2 h5)	23.06 (4 h3)	–	–			
=5 h3 r2/4	1294	Adrienne Power	CAN	23.40 (5 h5)	23.51 (5 h3)	–	–			
5 h4 r2/4	2869	Virgil Hodge	SKN	23.14 (3 h1)	23.17 (5 h4)	–	–			
6 h1 r2/4	1249	Evelyn dos Santos	BRA	23.43 (5 h6)	23.35 (6 h1)	–	–			
6 h2 r2/4	2512	Damola Osayomi	NGR	23.31 (3 h3)	23.27 (6 h2)	–	–			
6 h3 r2/4	2069	Vincenza Calì	ITA	23.44 (6 h5)	23.56 (6 h3)	–	–			
6 h4 r2/4	2747	Nataliya Rusakova	RUS	23.21 (3 h5)	23.28 (6 h4)	–	–			
7 h1 r2/4	2064	LaVerne Jones	ISV	23.12 (4 h6)	23.37 (7 h1)	–	–			
7 h2 r2/4	3331	Darlenis Obregón	COL	23.33 (5 h4)	23.40 (7 h2)	–	–			
7 h3 r2/4	1104	Sheniqua Ferguson	BAH	23.33 (4 h5)	23.61 (7 h3)	–	–			
7 h4 r2/4	1504	Eleni Artymata	CYP	23.58 (4 h3)	23.77 (7 h4)	–	–			
8 h2 r2/4	1266	Inna Eftimova	BUL	23.50 (5 h1)	23.48 (8 h2)	–	–			
8 h4 r2/4	1965	Alison George	GRN	23.45 (6 h6)	23.77 (8 h4)	–	–
AC	2745	Yuliya Chermoshanskaya	RUS	22.98 (AC h2)	22.63 (AC h3)	22.57 (AC h1)	–		DQ
