Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3275	Joanna Hayes	USA	12.71 (1 h4)	12.48 (1 h2)	12.37 (1)	Gold	OR	
2	3178	Olena Ovcharova-Krasovska	UKR	12.84 (3 h5)	12.58 (3 h1)	12.45 (2)	Silver		
3	3314	Melissa Morrison	USA	12.76 (1 h1)	12.53 (2 h1)	12.56 (3)	Bronze		
4	2895	Mariya Koroteyeva	RUS	12.72 (1 h3)	12.60 (4 h1)	12.72 (4)			
5	2230	Lacena Golding-Clarke	JAM	12.86 (3 h3)	12.69 (3 h2)	12.73 (5)			
6	1327	Angela Whyte	CAN	13.01 (3 h2)	12.69 (4 h2)	12.81 (6)			
AC r3/3	1313	Perdita Felicien	CAN	12.73 (2 h3)	12.49 (1 h1)	– (AC)			
AC r3/3	2938	Irina Shevchenko	RUS	12.82 (2 h5)	12.67 (2 h2)	– (AC)			
5 h1 r2/3	2227	Delloreen Ennis-London	JAM	12.77 (2 h1)	12.60 (5 h1)	–			
5 h2 r2/3	2899	Nataliya Kresova	RUS	12.90 (2 h4)	12.76 (5 h2)	–			
6 h1 r2/3	1560	Glory Alozie	ESP	12.92 (2 h2)	12.62 (6 h1)	–			
6 h2 r2/3	1762	Reïna-Flor Okori	FRA	12.81 (1 h5)	12.81 (6 h2)	–			
7 h1 r2/3	3073	Susanna Kallur	SWE	12.89 (4 h3)	12.67 (7 h1)	–			
8 h1 r2/3	2054	Nadine Faustin-Parker	HAI	12.94 (3 h1)	12.74 (8 h1)	–			
AC h2 r2/3	1864	Kirsten Bolm	GER	12.85 (4 h5)	– (AC h2)	–	
