Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1079	Sally Pearson	AUS	12.57 (1 h5)	12.39 (1 h2)	12.35 (1)	Gold		
2	3293	Dawn Harper	USA	12.75 (1 h4)	12.46 (1 h1)	12.37 (2)	Silver		
3	3324	Kellie Wells	USA	12.69 (1 h3)	12.51 (1 h3)	12.48 (3)	Bronze		
4	3301	Lolo Jones	USA	12.68 (1 h6)	12.71 (3 h2)	12.58 (4)			
5	1309	Phylicia George	CAN	12.83 (2 h6)	12.65 (2 h3)	12.65 (5)			
6	1324	Jessica Zelinka	CAN	12.75 (2 h1)	12.66 (2 h2)	12.69 (6)			
7	1093	Beate Schrott	AUT	13.09 (1 h2)	12.83 (2 h1)	13.07 (7)			
3 h1 r2/3	2212	Shermaine Williams	JAM	13.07 (5 h3)	12.83 (3 h1)	–			
3 h3 r2/3	2853	Tatyana Dektyareva	RUS	12.87 (2 h3)	12.75 (3 h3)	–			
4 h1 r2/3	1202	Alina Talay	BLR	12.71 (1 h1)	12.84 (4 h1)	–			
4 h2 r2/3	1872	Tiffany Porter	GBR	12.79 (3 h1)	12.79 (4 h2)	–			
4 h3 r2/3	1543	Lucie Škrobákova	CZE	13.01 (3 h3)	12.81 (4 h3)	–			
5 h1 r2/3	1311	Nikkita Holder	CAN	12.93 (3 h4)	12.93 (5 h1)	–			
5 h2 r2/3	2109	Derval O'Rourke	IRL	12.91 (2 h4)	12.91 (5 h2)	–			
5 h3 r2/3	1147	Anne Zagré	BEL	13.04 (4 h1)	12.94 (5 h3)	–			
6 h1 r2/3	1955	Carolin Nytra	GER	13.30 (3 h5)	13.31 (6 h1)	–			
6 h2 r2/3	1143	Eline Berings	BEL	13.46 (2 h2)	13.26 (6 h2)	–			
6 h3 r2/3	1960	Cindy Roleder	GER	13.06 (4 h3)	13.02 (6 h3)	–			
7 h2 r2/3	1117	Ivanique Kemp	BAH	13.51 (3 h2)	13.56 (7 h2)	–
AC	3102	Nevin Yanıt	TUR	12.70 (AC h4)	12.58 (AC h3)	12.58 (AC)		DQ
AC	2857	Yekaterina Galitskaya	RUS	12.89 (AC h4)	12.90 (AC h1)	–		DQ
AC	2871	Yuliya Kondakova	RUS	13.10 (AC h6)	13.13 (AC h2)	–		DQ
AC	2279	Nataliya Ivoninskaya	KAZ	13.48 (AC h3)	–	–		DQ
