Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1369	Brianna Rollins	USA	12.54 (1 h6)	12.47 (1 h1)	12.48 (1)	Gold		
2	1321	Nia Ali	USA	12.76 (1 h2)	12.65 (1 h2)	12.59 (2)	Silver		
3	1330	Kristi Castlin	USA	12.68 (1 h1)	12.63 (1 h3)	12.61 (3)	Bronze		
4	713	Cindy Ofili	GBR	12.75 (1 h3)	12.71 (2 h3)	12.63 (4)			
5	774	Cindy Roleder	GER	12.86 (1 h4)	12.69 (3 h1)	12.74 (5)			
6	362	Pedrya Seymour	BAH	12.85 (3 h2)	12.64 (2 h1)	12.76 (6)			
7	719	Tiffany Porter	GBR	12.87 (2 h4)	12.82 (4 h1)	12.76 (7)			
8	475	Phylicia George	CAN	12.83 (2 h2)	12.77 (2 h2)	12.89 (8)			
3 h2 r2/3	1051	Oluwatobiloba Amusan	NGR	12.99 (5 h5)	12.91 (3 h2)	–			
3 h3 r2/3	1073	Isabelle Pedersen	NOR	12.86 (3 h3)	12.88 (3 h3)	–			
4 h2 r2/3	752	Nadine Hildebrand	GER	12.84 (2 h3)	12.95 (4 h2)	–			
4 h3 r2/3	740	Pamela Dutkiewicz	GER	12.90 (3 h5)	12.92 (4 h3)	–			
5 h1 r2/3	907	Shermaine Williams	JAM	12.95 (4 h1)	12.86 (5 h1)	–			
5 h2 r2/3	1211	Clélia Rard-Reuse	SUI	12.91 (4 h4)	12.96 (5 h2)	–			
5 h3 r2/3	898	Megan Simmonds	JAM	12.81 (2 h6)	12.95 (5 h3)	–			
6 h1 r2/3	561	Andrea Ivančević	CRO	12.90 (4 h3)	12.93 (6 h1)	–			
6 h2 r2/3	659	Nooralotta Neziri	FIN	12.88 (3 h1)	13.04 (6 h2)	–			
6 h3 r2/3	668	Cindy Billaud	FRA	12.98 (5 h4)	13.03 (6 h3)	–			
7 h1 r2/3	677	Sandra Gomis	FRA	13.04 (3 h6)	13.23 (7 h1)	–			
7 h2 r2/3	909	Nickiesha Wilson	JAM	12.89 (3 h4)	13.14 (7 h2)	–			
8 h1 r2/3	402	Alina Talay	BLR	12.74 (2 h5)	13.66 (8 h1)	–
