Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	1363	Liu Xiang	CHN	13.27 (1 h3)	13.26 (1 h3)	13.18 (2 h1)	12.91 (1)	Gold		
2	3353	Terrence Trammell	USA	13.51 (5 h2)	13.34 (3 h3)	13.17 (2 h2)	13.18 (2)	Silver		
3	1453	Anier García	CUB	13.24 (1 h5)	13.28 (2 h2)	13.30 (3 h2)	13.20 (3)	Bronze		
4	2254	Maurice Wignall	JAM	13.30 (1 h6)	13.39 (3 h4)	13.17 (1 h1)	13.21 (4)			
5	2424	Staņislavs Olijars	LAT	13.27 (2 h1)	13.26 (1 h2)	13.20 (3 h1)	13.21 (5)			
6	1304	Charles Allen	CAN	13.35 (2 h3)	13.30 (2 h1)	13.23 (4 h1)	13.48 (6)			
7	1250	Matheus Inocêncio	BRA	13.45 (2 h4)	13.33 (1 h4)	13.34 (4 h2)	13.49 (7)			
8	1731	Ladji Doucouré	FRA	13.18 (1 h1)	13.23 (1 h1)	13.06 (1 h2)	13.76 (8)			
5 h1 r3/4	1459	Yoel Hernández	CUB	13.41 (2 h2)	13.29 (2 h3)	13.37 (5 h1)	–			
5 h2 r3/4	2053	Dudley Dorival	HAI	13.39 (1 h2)	13.39 (2 h4)	13.39 (5 h2)	–			
6 h1 r3/4	3076	Robert Kronberg	SWE	13.47 (3 h3)	13.39 (3 h1)	13.42 (6 h1)	–			
6 h2 r3/4	2239	Richard Phillips	JAM	13.39 (2 h6)	13.44 (3 h2)	13.47 (6 h2)	–			
7 h1 r3/4	2240	Chris Pinnock	JAM	13.42 (3 h2)	13.47 (4 h3)	13.57 (7 h1)	–			
7 h2 r3/4	1629	Felipe Vivancos	ESP	13.47 (6 h1)	13.48 (4 h2)	13.52 (7 h2)	–			
4 h1 r2/4	2922	Yevgeny Pechonkin	RUS	13.64 (4 h4)	13.53 (4 h1)	–	–			
4 h4 r2/4	1460	Yuniel Hernández	CUB	13.48 (4 h6)	13.46 (4 h4)	– (DNS h2)	–			
5 h1 r2/4	2455	Joseph-Berlioz Randriamihaja	MAD	13.46 (5 h1)	13.64 (5 h1)	–	–			
5 h2 r2/4	3338	Mike Fenner	GER	13.53 (2 h5)	13.53 (5 h2)	–	–			
5 h3 r2/4	1239	Márcio de Souza	BRA	13.43 (4 h1)	13.54 (5 h3)	–	–			
5 h4 r2/4	1135	Sergey Chepiga	RUS	13.59 (4 h5)	13.55 (5 h4)	–	–			
6 h1 r2/4	1546	Jackson Quiñónez	ECU	13.44 (3 h6)	13.67 (6 h1)	–	–			
6 h2 r2/4	1880	Stephen Jones	BAR	13.56 (3 h5)	13.85 (6 h2)	–	–			
6 h3 r2/4	2280	Masato Naito	JPN	13.56 (5 h3)	13.54 (6 h3)	–	–			
6 h4 r2/4	2808	Shaun Bownes	RSA	13.52 (6 h2)	13.62 (6 h4)	–	–			
7 h3 r2/4	2923	Igor Peremota	RUS	13.54 (4 h3)	13.64 (7 h3)	–	–			
7 h4 r2/4	2296	Satoru Tanigawa	JPN	13.39 (3 h1)	13.70 (7 h4)	–	–			
8 h3 r2/4	1422	Paulo Villar	COL	13.44 (1 h4)	14.03 (8 h3)	–	–			
8 h4 r2/4	3042	Todd Matthews Jouda	SUD	13.47 (4 h2)	13.77 (8 h4)	–	–			
AC h2 r2/4	2575	Gregory Sedoc	NED	13.65 (5 h4)	– (AC h2)	–	–			
AC h2 r2/4	3287	Allen Johnson	USA	13.45 (3 h4)	– (AC h2)	–	–
