Pos	Nr	Athlete	NOC	R1	Final			
1	1808	Mo Farah	GBR	13:26.00 (3 h1)	13:41.66 (1)	Gold		
2	1688	Dejen Gebremeskel	ETH	13:15.15 (1 h2)	13:41.98 (2)	Silver		
3	2310	Thomas Longosiwa	KEN	13:15.41 (3 h2)	13:42.36 (3)	Bronze		
4	3231	Bernard Lagat	USA	13:15.45 (4 h2)	13:42.99 (4)			
5	2307	Isiah Koech	KEN	13:25.64 (2 h1)	13:43.83 (5)			
6	2456	Abdalaati Iguider	MAR	13:15.49 (5 h2)	13:44.19 (6)			
7	3250	Galen Rupp	USA	13:17.56 (6 h2)	13:45.04 (7)			
8	2495	Juan Luis Barrios	MEX	13:21.01 (9 h2)	13:45.30 (8)			
9	1095	Hayle İbrahimov	AZE	13:25.23 (1 h1)	13:45.37 (9)			
10	3232	Lopez Lomong	USA	13:26.16 (4 h1)	13:48.19 (10)			
11	1689	Hagos Gebrhiwet	ETH	13:26.16 (5 h1)	13:49.59 (11)			
12	1677	Yenew Alamirew	ETH	13:15.39 (2 h2)	13:49.68 (12)			
13	1553	Mumin Gala	DJI	13:21.21 (10 h2)	13:50.26 (13)			
14	1293	Cam Levins	CAN	13:18.29 (8 h2)	13:51.87 (14)			
15	3114	Moses Kipsiro	UGA	13:17.68 (7 h2)	13:52.25 (15)	
