Pos	Nr	Athlete	NOC	R1	Final			
1	1659	Meseret Defar	ETH	14:52.39 (1 h2)	14:45.65 (1)	Gold		
2	2355	Isabella Ochichi	KEN	14:55.69 (4 h2)	14:48.19 (2)	Silver		
3	1661	Tirunesh Dibaba	ETH	15:00.66 (1 h1)	14:51.83 (3)	Bronze		
4	2963	Yelena Zadorozhnaya	RUS	15:01.77 (3 h1)	14:55.52 (4)			
5	1830	Jo Pavey	GBR	14:55.45 (3 h2)	14:57.87 (5)			
6	2935	Gulnara Samitova	RUS	15:05.78 (8 h2)	15:02.30 (6)			
7	1911	Irina Mikitenko	GER	15:02.16 (6 h1)	15:03.36 (7)			
8	1374	Sun Yingjie	CHN	15:03.00 (7 h1)	15:07.23 (8)			
9	1378	Xing Huina	CHN	14:56.01 (5 h2)	15:07.41 (9)			
10	1663	Sentayehu Ejigu	ETH	15:01.31 (2 h1)	15:09.55 (10)			
11	1758	Margaret Maury	FRA	14:56.79 (6 h2)	15:09.77 (11)			
12	3142	Elvan Abeylegesse	TUR	14:54.80 (2 h2)	15:12.64 (12)			
13	2940	Liliya Shobukhova	RUS	15:01.86 (4 h1)	15:15.64 (13)			
14	2139	Sonia O'Sullivan	IRL	14:59.61 (7 h2)	16:20.90 (14)
