Pos	Nr	Athlete	NOC	R1	Final			
1	1662	Kenenisa Bekele	ETH	13:40.13 (3 h3)	12:57.82 (1)	Gold		
2	2260	Eliud Kipchoge	KEN	13:37.50 (2 h1)	13:02.80 (2)	Silver		
3	2245	Edwin Soi	KEN	13:46.41 (1 h2)	13:06.22 (3)	Bronze		
4	3054	Moses Kipsiro	UGA	13:46.58 (2 h2)	13:10.56 (4)			
5	1658	Abreham Cherkos	ETH	13:47.60 (3 h2)	13:16.46 (5)			
6	1657	Tariku Bekele	ETH	13:37.63 (3 h1)	13:19.06 (6)			
7	2442	Juan Luis Barrios	MEX	13:42.39 (7 h1)	13:19.79 (7)			
8	2699	James Kwalia	QAT	13:39.96 (2 h3)	13:23.48 (8)			
9	3194	Bernard Lagat	USA	13:39.70 (1 h3)	13:26.89 (9)			
10	1571	Kidane Tadesse	ERI	13:37.72 (4 h1)	13:28.40 (10)			
11	1633	Alemayehu Bezabeh	ESP	13:37.88 (5 h1)	13:30.48 (11)			
12	2277	Thomas Longosiwa	KEN	13:41.30 (4 h3)	13:31.34 (12)			
13	3241	Matt Tegenkamp	USA	13:37.36 (1 h1)	13:33.13 (13)			
14	1589	Jesús España	ESP	13:48.88 (4 h2)	13:55.94 (14)	
