Pos	Nr	Athlete	NOC	R1	Final			
1	1659	Tirunesh Dibaba	ETH	15:09.89 (1 h1)	15:41.40 (1)	Gold		
2	1665	Meseret Defar	ETH	14:56.32 (1 h2)	15:44.12 (2)	Silver		
3	2280	Sylvia Kibet	KEN	15:10.37 (2 h1)	15:44.96 (3)	Bronze		
4	2283	Vivian Cheruiyot	KEN	14:57.27 (2 h2)	15:46.32 (4)			
5	2831	Liliya Shobukhova	RUS	14:57.77 (3 h2)	15:46.62 (5)			
6	3046	Alemitu Bekele	TUR	15:10.92 (3 h1)	15:48.48 (6)			
7	1656	Meselech Melkamu	ETH	15:11.21 (4 h1)	15:49.03 (7)			
8	3171	Kara Goucher	USA	15:00.98 (6 h2)	15:49.39 (8)			
9	3283	Shalane Flanagan	USA	14:59.69 (5 h2)	15:50.80 (9)			
10	2253	Priscah Cherono	KEN	14:58.07 (4 h2)	15:51.78 (10)			
11	2783	Gulnara Galkina	RUS	15:11.46 (5 h1)	15:56.97 (11)			
12	1392	Xue Fei	CHN	15:13.25 (8 h2)	16:09.84 (12)			
13	3221	Jen Rhines	USA	15:15.12 (6 h1)	16:34.63 (13)			
14	1292	Megan Metcalfe	CAN	15:11.23 (7 h2)	17:06.82 (14)
AC	3045	Elvan Abeylegesse	TUR	14:58.79 (AC h2)	15:42.74 (AC)		DQ
