Pos	Nr	Athlete	NOC	R1	Final			
1	2469	Hicham El Guerrouj	MAR	13:21.87 (3 h1)	13:14.39 (1)	Gold		
2	1657	Kenenisa Bekele	ETH	13:21.16 (1 h1)	13:14.59 (2)	Silver		
3	2342	Eliud Kipchoge	KEN	13:19.01 (2 h2)	13:15.10 (3)	Bronze		
4	1664	Gebre Egziabher Gebremariam	ETH	13:21.20 (2 h1)	13:15.35 (4)			
5	1658	Dejene Berhanu	ETH	13:19.42 (3 h2)	13:16.92 (5)			
6	2340	John Kibowen	KEN	13:19.65 (4 h2)	13:18.24 (6)			
7	1553	Zersenay Tadese	ERI	13:22.17 (7 h2)	13:24.31 (7)			
8	1080	Craig Mottram	AUS	13:21.88 (4 h1)	13:25.70 (8)			
9	2461	Hicham Bellani	MAR	13:22.64 (6 h1)	13:31.81 (9)			
10	1024	Ali Saïdi-Sief	ALG	13:18.94 (1 h2)	13:32.57 (10)			
11	3232	Tim Broe	USA	13:20.29 (6 h2)	13:33.06 (11)			
12	2129	Alistair Cragg	IRL	13:23.01 (7 h1)	13:43.06 (12)			
13	2477	Abderrahim Goumri	MAR	13:20.03 (5 h2)	13:47.27 (13)			
14	1021	Samir Moussaoui	ALG	13:24.98 (8 h1)	14:02.01 (14)	
