Pos	Nr	Athlete	NOC	R1	Final			
1	946	Vivian Cheruiyot	KEN	15:17.74 (3 h2)	14:26.17 (1)	Gold		
2	954	Hellen Obiri	KEN	15:19.38 (1 h1)	14:29.77 (2)	Silver		
3	641	Almaz Ayana	ETH	15:04.35 (1 h2)	14:33.59 (3)	Bronze		
4	945	Mercy Cherono	KEN	15:19.56 (3 h1)	14:42.89 (4)			
5	649	Senbere Teferi	ETH	15:17.43 (2 h2)	14:43.75 (5)			
6	1257	Yasemin Can	TUR	15:19.50 (2 h1)	14:56.96 (6)			
7	1068	Karoline Bjerkeli Grøvdal	NOR	15:17.83 (4 h2)	14:57.53 (7)			
8	1036	Susan Kuijken	NED	15:19.96 (5 h1)	15:00.69 (8)			
9	344	Eloise Wellings	AUS	15:19.02 (6 h2)	15:01.59 (9)			
10	325	Madeline Hills	AUS	15:21.33 (6 h1)	15:04.05 (10)			
11	1348	Shelby Houlihan	USA	15:19.76 (4 h1)	15:08.89 (11)			
12	329	Genevieve LaCaze	AUS	15:20.45 (7 h2)	15:10.35 (12)			
13	709	Eilish McColgan	GBR	15:18.20 (5 h2)	15:12.09 (13)			
14	653	Ababel Yeshaneh	ETH	15:24.38 (8 h1)	15:18.26 (14)			
15	924	Miyuki Uehara	JPN	15:23.41 (7 h1)	15:34.97 (15)			
16	351	Jennifer Wenth	AUT	16:07.02 (14 h2)	15:56.11 (16)			
17	1075	Nikki Hamblin	NZL	16:43.61 (15 h2)	16:14.24 (17)
