Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2048	Krisztián Pars	HUN	79.37 (1)	80.59 (1)	Gold		
2	2930	Primož Kozmus	SLO	78.12 (3)	79.36 (2)	Silver		
3	2229	Koji Murofushi	JPN	78.48 (2)	78.71 (3)	Bronze		
4	3150	Oleksiy Sokyrskiy	UKR	77.65 (4)	78.25 (4)			
5	1520	Lukáš Melich	CZE	75.88 (8)	77.17 (5)			
6	2678	Szymon Ziółkowski	POL	76.22 (6)	77.10 (6)			
7	2145	Nicola Vizzoni	ITA	74.79 (9)	76.07 (7)			
8	3224	Kibwé Johnson	USA	77.17 (5)	74.95 (8)			
9	3022	Dilshod Nazarov	TJK	75.91 (7)	73.80 (9)			
10	1169	Valery Svyatokho	BLR	74.69 (11)	73.13 (10)			
11	1834	Alex Smith	GBR	74.71 (10)	72.87 (11)		
