Pos	Competitor(s)	NOC	Distance	SBMD			
1	Primož Kozmus	SLO	82.02	–			
2	Vadim Devyatovsky	BLR	81.61	–			
3	Ivan Tikhon	BLR	81.51	–			
4	Krisztián Pars	HUN	80.96	–			
5	Koji Murofushi	JPN	80.71	–			
6	Olli-Pekka Karjalainen	FIN	79.59	–			
7	Szymon Ziółkowski	POL	79.22	–			
8	Libor Charfreitag	SVK	78.65	–			
9	Markus Esser	GER	77.10	–			
10	Andraš Haklić	CRO	76.58	–			
11	Dilshod Nazarov	TJK	76.54	–			
12	Jim Steacy	CAN	75.72	–			
