Pos	Competitor(s)	NOC	Distance			
1	Yipsi Moreno	CUB	75.20			
2	Zhang Wenxiu	CHN	74.32			
3	Manuèla Montebrun	FRA	72.54			
4	Anita Włodarczyk	POL	71.56			
5	Clarissa Claretti	ITA	71.33			
6	Martina Danišová	SVK	71.00			
7	Betty Heidler	GER	70.06			
8	Yelena Priyma	RUS	69.72			
9	Stella Papadopoulou	GRE	64.97
AC	Oksana Menkova	BLR	76.34	DQ [OR]	
AC	Darya Pchelnik	BLR	73.65	DQ	
