Pos	Competitor(s)	NOC	Distance	SBMD			
1	Koji Murofushi	JPN	82.91	–			
2	Eşref Apak	TUR	79.51	–			
3	Vadim Devyatovsky	BLR	78.82	–			
4	Krisztián Pars	HUN	78.73	–			
5	Primož Kozmus	SLO	78.56	–			
6	Libor Charfreitag	SVK	77.54	–			
7	Karsten Kobs	GER	76.30	–			
8	Igor Astapkovich	BLR	76.22	–			
9	Nicola Vizzoni	ITA	74.27	–			
10	Markus Esser	GER	72.51	–			
AC	Adrián Annus	HUN	83.19	–	DQ		7
AC	Ivan Tikhon	BLR	79.81	–	DQ		8
