Pos	Nr	Walker	NOC	Time	Warnings			
1	1064	Jared Tallent	AUS	3-36:53	2	OR	Gold	
2	1359	Si Tianfeng	CHN	3-37:16	1		Silver	
3	2094	Robbie Heffernan	IRL	3-37:54	0		Bronze	
4	1351	Li Jianbo	CHN	3-39:01	1			
5	2991	Matej Tóth	SVK	3-41:24	0			
6	2665	Łukasz Nowak	POL	3-42:47	1			
7	2227	Koichiro Morioka	JPN	3-43:14	0			
8	1903	André Höhne	GER	3-44:26	2			
9	1764	Bertrand Moulinet	FRA	3-45:35	0			
10	2359	Park Chil-Seong	KOR	3-45:55	0			
11	1170	Ivan Trotsky	BLR	3-46:09	2			
12	1724	Jarkko Kinnunen	FIN	3-46:25	0			
13	2501	Horacio Nava	MEX	3-46:59	1			
14	2131	Marco De Luca	ITA	3-47:19	0			
15	2670	Rafał Sikora	POL	3-47:47	0			
16	3131	Ihor Hlavan	UKR	3-48:07	0			
17	1618	Jesús Ángel García	ESP	3-48:32	0			
18	2597	Trond Nymark	NOR	3-48:37	0			
19	1040	Nathan Deakes	AUS	3-48:45	0			
20	2508	Omar Zepeda	MEX	3-49:14	0			
21	1913	Christopher Linke	GER	3-49:19	0			
22	1984	Alexandros Papamikhail	GRE	3-49:56	0			
23	1035	Luke Adams	AUS	3-53:41	1			
24	1607	Emerson Hernández	ESA	3-53:57	0			
25	2499	José Leyver Ojeda	MEX	3-55:00	0			
26	2091	Brendan Boyce	IRL	3-55:01	0			
27	2611	Quentin Rew	NZL	3-55:03	2			
28	1755	Cédric Houssaye	FRA	3-55:16	0			
29	2787	Marc Mundell	RSA	3-55:32	0			
30	1413	Fredy Hernández	COL	3-56:00	0			
31	2360	Im Jeong-Hyeon	KOR	3-56:34	1			
32	3125	Serhiy Budza	UKR	3-56:35	0			
33	2066	Basant Bahadur Rana	IND	3-56:48	0			
34	1370	Zhao Jianguo	CHN	3-56:59	0			
35	2355	Kim Dong-Yeong	KOR	3-57:33	0			
36	2759	Marius Cocioran	ROU	3-57:52	0			
37	2712	Pedro Isidro	POR	3-58:59	0			
38	1722	Antti Kempas	FIN	4-01:50	1			
39	1631	Mikel Odriozola	ESP	4-02:48	1			
40	3243	John Nunn	USA	4-03:28	0			
41	1885	Maciej Rosiewicz	GEO	4-05:20	2			
42	2389	Igors Kazakēvičs	LAT	4-06:47	0			
43	2429	Tadas Šuškevičius	LTU	4-08:16	2			
44	1574	Xavier Moreno	ECU	4-09:23	1			
45	2987	Miloš Bátovský	SVK	4-09:32	0			
46	2265	Vitaly Anichkin	KAZ	4-14:09	0			
47	1638	Benjamín Sánchez	ESP	4-14:40	0			
48	1814	Dom King	GBR	4-15:05	1
AC	2807	Igor Yerokhin	RUS	3-37:54	1	DQ		1
AC	2801	Sergey Bakulin	RUS	3-38:55	2	DQ		10
AC	2810	Sergey Kirdyapkin	RUS	3-35:59	0	DQ		11
