Pos	Nr	Walker	NOC	Time	Warnings			
1	2679	Robert Korzeniowski	POL	3-38:46	1		Gold	
2	2917	Denis Nizhegorodov	RUS	3-42:50	0		Silver	
3	2954	Aleksey Voyevodin	RUS	3-43:34	0		Bronze	
4	1381	Yu Chaohong	CHN	3-43:45	1			
5	1587	Jesús Ángel García	ESP	3-44:42	2			
6	2683	Roman Magdziarczyk	POL	3-48:11	1			
7	2702	Grzegorz Sudoł	POL	3-49:09	1			
8	1613	Santiago Pérez	ESP	3-49:48	0			
9	2850	Yury Andronov	RUS	3-50:28	0			
10	1352	Gadasu Alatan	CHN	3-51:55	1			
11	2414	Aigars Fadejevs	LAT	3-52:52	1			
12	1544	Jefferson Pérez	ECU	3-53:04	0			
13	2622	Trond Nymark	NOR	3-53:20	2			
14	3063	Peter Korčok	SVK	3-54:22	2			
15	2525	Miguel Ángel Rodríguez	MEX	3-55:43	1			
16	2302	Yuki Yamazaki	JPN	3-57:00	2			
17	2527	Germán Sánchez	MEX	3-58:33	1			
18	3056	Miloš Bátovský	SVK	3-59:11	0			
19	1199	Andrey Stepanchuk	BLR	3-59:32	0			
20	2317	Sergey Korepanov	KAZ	3-59:33	0			
21	1768	Eddy Riva	FRA	4-00:25	1			
22	1723	David Boulanger	FRA	4-01:32	0			
23	2986	Aleksandar Raković	SCG	4-02:06	0			
24	2067	Zoltán Czukor	HUN	4-03:51	1			
25	2421	Modris Liepiņš	LAT	4-04:26	0			
26	1247	Sérgio Galdino	BRA	4-05:02	1			
27	2380	Kim Dong-Yeong	KOR	4-05:16	0			
28	1696	Jani Lehtinen	FIN	4-05:35	0			
29	2631	Craig Barrett	NZL	4-06:48	1			
30	2452	Daugvinas Zujus	LTU	4-09:41	1			
31	1306	Tim Berrett	CAN	4-10:31	1			
32	3242	Curt Clausen	USA	4-11:31	2			
33	1593	José Antonio González	ESP	4-11:51	0			
34	2723	Jorge Costa	POR	4-12:24	1			
35	3255	Philip Dunn	USA	4-12:49	0			
36	3067	Kazimír Verkin	SVK	4-13:11	1			
37	2319	Rustam Kuvatov	KAZ	4-13:40	0			
38	1498	Miloš Holuša	CZE	4-15:01	0			
39	1967	Georgios Argyropoulos	GRE	4-17:25	0			
40	1244	Mário José dos Santos Júnior	BRA	4-20:11	2			
41	2092	János Tóth	HUN	4-29:33	0	
