Pos	Nr	Walker	NOC	Time	Warnings			
1	228	Matej Tóth	SVK	3-40:58	0		Gold	
2	105	Jared Tallent	AUS	3-41:16	0		Silver	
3	177	Hirooki Arai	JPN	3-41:24	1		Bronze	
4	117	Evan Dunfee	CAN	3-41:38	0			
5	127	Yu Wei	CHN	3-43:00	0			
6	172	Robbie Heffernan	IRL	3-43:55	0			
7	201	Håvard Haukenes	NOR	3-46:33	0			
8	150	Yohann Diniz	FRA	3-46:43	0			
9	112	Caio Bonfim	BRA	3-47:02	0			
10	103	Chris Erickson	AUS	3-48:40	0			
11	126	Wang Zhendong	CHN	3-48:50	0			
12	203	Quentin Rew	NZL	3-49:32	0			
13	196	Horacio Nava	MEX	3-50:53	1			
14	182	Takayuki Tanii	JPN	3-51:00	1			
15	208	Adrian Błocki	POL	3-51:31	0			
16	200	Omar Zepeda	MEX	3-51:35	1			
17	132	Jorge Armando Ruiz	COL	3-51:42	1			
18	234	Serhiy Budza	UKR	3-53:22	0			
19	171	Brendan Boyce	IRL	3-53:59	0			
20	143	Jesús Ángel García	ESP	3-54:29	0			
21	175	Marco De Luca	ITA	3-54:40	0			
22	207	Rafał Augustyn	POL	3-55:01	1			
23	146	Jarkko Kinnunen	FIN	3-55:43	0			
24	210	Rafał Fedaczyński	POL	3-55:51	0			
25	197	José Leyver Ojeda	MEX	3-56:07	0			
26	226	Dušan Majdán	SVK	3-58:25	2			
27	180	Koichiro Morioka	JPN	3-58:59	0			
28	157	Alexandros Papamikhail	GRE	3-59:21	0			
29	114	Jonathan Riekmann	BRA	4-01:52	1			
30	109	Ronal Quispe	BOL	4-02:00	0			
31	218	Narcis Mihăilă	ROU	4-02:46	0			
32	214	Pedro Isidro	POR	4-03:42	1			
33	193	Tadas Šuškevičius	LTU	4-04:10	0			
34	138	Rolando Saquipay	ECU	4-07:29	0			
35	167	Sandeep Kumar	IND	4-07:55	1			
36	213	Miguel Carvalho	POR	4-08:16	0			
37	190	Arnis Rumbenieks	LAT	4-08:28	0			
38	219	Marc Mundell	RSA	4-11:03	0			
39	233	Ivan Banzeruk	UKR	4-11:51	0			
40	104	Brendon Reading	AUS	4-13:02	0			
41	159	Mario Alfonso Bran	GUA	4-15:14	1			
42	224	Vladimir Savanović	SRB	4-15:53	0			
43	238	John Nunn	USA	4-16:12	0			
44	165	Bence Venyercsán	HUN	4-19:15	0			
45	139	Claudio Villanueva	ECU	4-19:33	0			
46	222	Nenad Filipović	SRB	4-25:41	1			
47	124	Han Yucheng	CHN	4-32:35	2			
48	205	Pavel Chihuán	PER	4-32:37	1			
49	223	Predrag Filipović	SRB	4-39:48	1	
