Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3079	Christian Olsson	SWE	17.68 (1)	17.79 (1)	Gold		
2	2792	Marian Oprea	ROU	17.44 (3)	17.55 (2)	Silver		
3	2863	Daniil Burkenya	RUS	17.08 (7)	17.48 (3)	Bronze		
4	1440	Yoandri Betanzos	CUB	17.53 (2)	17.47 (4)			
5	1248	Jadel Gregório	BRA	17.20 (5)	17.31 (5)			
6	1996	Khristos Meletoglou	GRE	17.06 (8)	17.13 (6)			
7	2880	Viktor Gushchinsky	RUS	17.17 (6)	17.11 (7)			
8	1475	Yoelbi Quesada	CUB	17.01 (9)	16.96 (8)			
9	3224	Kenta Bell	USA	16.98 (10)	16.90 (9)			
10	1747	Julien Kapek	FRA	16.91 (12)	16.81 (10)			
11	3249	Walter Davis	USA	16.94 (11)	16.78 (11)
