Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3100	Christian Taylor	USA	17.24 (1)	17.86 (1)	Gold		
2	3058	Will Claye	USA	17.05 (3)	17.76 (2)	Silver		
3	2222	Dong Bin	CHN	17.10 (2)	17.58 (3)	Bronze		
4	2221	Cao Shuo	CHN	16.97 (5)	17.13 (4)			
5	2252	Jhon Murillo	COL	16.78 (8)	17.09 (5)			
6	2863	Nelson Évora	POR	16.99 (4)	17.03 (6)			
7	2546	Troy Doris	GUY	16.81 (6)	16.90 (7)			
8	2276	Lázaro Martínez	CUB	16.61 (12)	16.68 (8)			
9	2757	Alberto Álvarez	MEX	16.67 (10)	16.56 (9)			
10	2417	Benjamin Compaoré	FRA	16.72 (9)	16.54 (10)			
11	2235	Xu Xiaolong	CHN	16.65 (11)	16.41 (11)			
12	2837	Karol Hoffmann	POL	16.79 (7)	16.31 (12)
