Pos	Nr	Athlete	NOC	Qualifying	Final			
1	550	Caterine Ibargüén	COL	14.52 (1)	15.17 (1)	Gold		
2	1399	Yulimar Rojas	VEN	14.21 (7)	14.98 (2)	Silver		
3	935	Olga Rypakova	KAZ	14.39 (3)	14.74 (3)	Bronze		
4	1364	Keturah Orji	USA	14.08 (12)	14.71 (4)			
5	852	Hanna Knyazyeva-Minenko	ISR	14.20 (8)	14.68 (5)			
6	1130	Patrícia Mamona	POR	14.18 (9)	14.65 (6)			
7	906	Kimmie Williams	JAM	14.22 (6)	14.53 (7)			
8	800	Paraskevi Papakhristou	GRE	14.43 (2)	14.26 (8)			
9	1128	Susana Costa	POR	14.12 (11)	14.12 (9)			
10	1101	Anna Jagaciak	POL	14.13 (10)	14.07 (10)			
11	745	Kristin Gierisch	GER	14.26 (4)	13.96 (11)			
12	657	Kristiina Mäkelä	FIN	14.24 (5)	13.95 (12)
