Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3256	Christian Taylor	USA	17.21 (1)	17.81 (1)	Gold		
2	3211	Will Claye	USA	16.87 (7)	17.62 (2)	Silver		
3	2132	Fabrizio Donato	ITA	16.86 (8)	17.48 (3)	Bronze		
4	2134	Daniele Greco	ITA	17.00 (4)	17.34 (4)			
5	1109	Leevan Sands	BAH	17.17 (2)	17.19 (5)			
6	1747	Benjamin Compaoré	FRA	17.06 (3)	17.08 (6)			
7	2573	Tosin Oke	NGR	16.83 (9)	16.95 (7)			
8	1467	Alexis Copello	CUB	16.79 (11)	16.92 (8)			
9	2798	Lyukman Adams	RUS	16.88 (6)	16.78 (9)			
10	1347	Dong Bin	CHN	16.94 (5)	16.75 (10)			
11	2029	Samyr Lainé	HAI	16.81 (10)	16.65 (11)			
12	1166	Dmitry Plotnitsky	BLR	16.62 (12)	16.19 (12)	
