Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1403	Françoise Mbango	CMR	14.61 (9)	15.30 (1)	Gold		
2	1969	Pigi Devetzi	GRE	15.32 (1)	15.25 (2)	Silver		
3	2906	Tatyana Lebedeva	RUS	14.71 (5)	15.14 (3)	Bronze		
4	2247	Trecia Smith	JAM	14.65 (7)	15.02 (4)			
5	3039	Yamilé Aldama	SUD	14.80 (3)	14.99 (5)			
6	1022	Baya Rahouli	ALG	14.89 (2)	14.86 (6)			
7	2194	Magdelín Martínez	ITA	14.57 (10)	14.85 (7)			
8	2928	Anna Pyatykh	RUS	14.62 (8)	14.79 (8)			
9	1442	Yusmay Bicet	CUB	14.53 (14)	14.57 (9)			
10	3173	Olena Hovorova	UKR	14.56 (=11)	14.35 (10)			
11	2029	Olga Vasdeki	GRE	14.54 (13)	14.34 (11)			
12	1347	Huang Qiuyan	CHN	14.66 (6)	14.33 (12)			
13	1193	Nataliya Safronova	BLR	14.52 (15)	14.22 (13)			
14	2995	Kène N'Doye	SEN	14.79 (4)	14.18 (14)			
15	2783	Adelina Gavrilă	ROU	14.56 (=11)	13.86 (15)
