Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1902	Robert Harting	GER	66.22 (2)	68.27 (1)	Gold		
2	2083	Ehsan Haddadi	IRI	65.19 (6)	68.18 (2)	Silver		
3	1664	Gerd Kanter	EST	66.39 (1)	68.03 (3)	Bronze		
4	2424	Virgilijus Alekna	LTU	63.88 (10)	67.38 (4)			
5	2660	Piotr Małachowski	POL	64.65 (7)	67.19 (5)			
6	1928	Martin Wierig	GER	64.13 (8)	65.85 (6)			
7	1614	Frank Casañas	ESP	63.76 (11)	65.56 (7)			
8	2063	Vikas Gowda	IND	65.20 (5)	64.79 (8)			
9	1045	Benn Harradine	AUS	64.00 (9)	63.59 (9)			
10	2542	Erik Cadée	NED	63.55 (12)	62.78 (10)			
11	1468	Jorge Fernández	CUB	65.34 (3)	62.02 (11)			
12	1826	Lawrence Okoye	GBR	65.28 (4)	61.03 (12)
