Pos	Competitor(s)	NOC	Distance	SBMD			
1	Virgilijus Alekna	LTU	69.89	–	OR		
2	Zoltán Kővágó	HUN	67.04	–			
3	Aleksander Tammert	EST	66.66	–			
4	Vasily Kaptyukh	BLR	65.10	–			
5	Frantz Kruger	RSA	64.34	–			
6	Casey Malone	USA	64.33	–			
7	Lars Riedel	GER	62.80	–			
8	Hannes Hopley	RSA	62.58	–			
9	Torsten Schmidt	GER	61.18	–			
10	Libor Malina	CZE	58.78	–			
11	Gábor Máté	HUN	57.84	–			
AC	Róbert Fazekas	HUN	70.93	–	DQ		4
