Pos	Competitor(s)	NOC	Distance	SBMD			
1	Gerd Kanter	EST	68.82	–			
2	Piotr Małachowski	POL	67.82	–			
3	Virgilijus Alekna	LTU	67.79	–			
4	Robert Harting	GER	67.09	–			
5	Frank Casañas	ESP	66.49	–			
6	Bogdan Pishchalnikov	RUS	65.88	–			
7	Rutger Smith	NED	65.39	–			
8	Róbert Fazekas	HUN	63.43	–			
9	Mario Pestano	ESP	63.42	–			
10	Rashid Al-Dosari	QAT	62.55	–			
11	Frantz Kruger	FIN	61.98	–			
12	Aleksander Tammert	EST	61.38	–
