Pos	Competitor(s)	NOC	Distance	SBMD			
1	Nataliya Sadova	RUS	67.02	–			
2	Anastasia Kelesidou	GRE	66.68	–			
3	Věra Pospíšilová-Cechlová	CZE	66.08	–			
4	Olena Antonova	UKR	65.75	–			
5	Nicoleta Grasu	ROU	64.92	–			
6	Beatrice Faumuina	NZL	63.45	–			
7	Aikaterini Vongoli	GRE	62.37	–			
8	Li Yanfeng	CHN	61.05	–			
9	Joanna Wiśniewska	POL	60.74	–			
10	Stella Tsikouna	GRE	59.48	–
AC	Irina Yatchenko	BLR	66.17	–	DQ (doping)
