Pos	Competitor(s)	NOC	Distance	SBMD			
1	Sandra Perković	CRO	69.11	–			
2	Li Yanfeng	CHN	67.22	–			
3	Yarelis Barrios	CUB	66.38	–			
4	Nadine Müller	GER	65.94	–			
5	Mélina Robert-Michon	FRA	63.98	–			
6	Krishna Poonia	IND	63.62	–			
7	Stephanie Brown-Trafton	USA	63.01	–			
8	Zinaida Sendriūtė	LTU	61.68	–			
9	Anna Rüh	GER	61.36	–			
10	Ma Xuejun	CHN	61.02	–			
11	Dani Samuels	AUS	60.40	–			
AC	Darya Pishchalnikova	RUS	67.56	–	DQ	
